,dt,Value,Country,Type,AverageTemperature,Mes
0,1990,62297.166000000005,1,1,-2.4430000000000005,1
1,1990,4293.063,1,2,-2.4430000000000005,1
2,1990,10598.566000000003,1,3,-2.4430000000000005,1
3,1990,63417.20393866182,1,1,2.713,2
4,1990,4342.94857016649,1,2,2.713,2
5,1990,10608.935464260721,1,3,2.713,2
6,1990,64354.77664346069,1,1,5.391,3
7,1990,4385.02094979147,1,2,5.391,3
8,1990,10614.433618056273,1,3,5.391,3
9,1990,65120.69876860568,1,1,5.4620000000000015,4
10,1990,4419.6998653565815,1,2,5.4620000000000015,4
11,1990,10615.394522053171,1,3,5.4620000000000015,4
12,1990,65725.7849683141,1,1,12.561,5
13,1990,4447.405043343835,1,2,12.561,5
14,1990,10612.152236917971,1,3,12.561,5
15,1990,66180.8498968014,1,1,14.199000000000002,6
16,1990,4468.556210235161,1,2,14.199000000000002,6
17,1990,10605.040823317184,1,3,14.199000000000002,6
18,1990,66496.70820827941,1,1,15.992,7
19,1990,4483.573092512322,1,2,15.992,7
20,1990,10594.394341917383,1,3,15.992,7
21,1990,66684.17455696399,1,1,16.846,8
22,1990,4492.875416657265,1,2,16.846,8
23,1990,10580.546853385096,1,3,16.846,8
24,1990,66754.06359706962,1,1,10.564,9
25,1990,4496.882909151877,1,2,10.564,9
26,1990,10563.832418386808,1,3,10.564,9
27,1990,66717.18998281022,1,1,8.224,10
28,1990,4496.015296478014,1,2,8.224,10
29,1990,10544.585097589148,1,3,8.224,10
30,1990,66584.3683684006,1,1,2.021,11
31,1990,4490.692305117575,1,2,2.021,11
32,1990,10523.13895165861,1,3,2.021,11
33,1990,66366.41340805437,1,1,-3.4019999999999997,12
34,1990,4481.3336615524095,1,2,-3.4019999999999997,12
35,1990,10499.828041261664,1,3,-3.4019999999999997,12
36,1991,66074.13975598717,1,1,-2.5440000000000005,13
37,1991,4468.35909226445,1,2,-2.5440000000000005,1
38,1991,10474.98642706498,1,3,-2.5440000000000005,1
39,1991,65718.36206641291,1,1,-4.62,2
40,1991,4452.188323735554,1,2,-4.62,2
41,1991,10448.94816973503,1,3,-4.62,2
42,1991,65309.894993545924,1,1,4.694,3
43,1991,4433.241082447606,1,2,4.694,3
44,1991,10422.047329938347,1,3,4.694,3
45,1991,64859.55319159928,1,1,5.313,4
46,1991,4411.937094882419,1,2,5.313,4
47,1991,10394.617968341392,1,3,5.313,4
48,1991,64378.151314789946,1,1,7.9209999999999985,5
49,1991,4388.696087521995,1,2,7.9209999999999985,5
50,1991,10366.994145610859,1,3,7.9209999999999985,5
51,1991,63876.504017331084,1,1,13.791,6
52,1991,4363.937786848159,1,2,13.791,6
53,1991,10339.509922413208,1,3,13.791,6
54,1991,63365.425953435595,1,1,17.546,7
55,1991,4338.081919342713,1,2,17.546,7
56,1991,10312.499359414902,1,3,17.546,7
57,1991,62855.731777320805,1,1,16.674,8
58,1991,4311.548211487689,1,2,16.674,8
59,1991,10286.296517282623,1,3,16.674,8
60,1991,62358.23614319963,1,1,13.871,9
61,1991,4284.756389764891,1,2,13.871,9
62,1991,10261.23545668284,1,3,13.871,9
63,1991,61883.753705285155,1,1,6.061,10
64,1991,4258.126180656127,1,2,6.061,10
65,1991,10237.650238282018,1,3,6.061,10
66,1991,61443.09911779447,1,1,1.429,11
67,1991,4232.077310643426,1,2,1.429,11
68,1991,10215.87492274683,1,3,1.429,11
69,1991,61047.087034940574,1,1,-3.841,12
70,1991,4207.029506208595,1,2,-3.841,12
71,1991,10196.243570743747,1,3,-3.841,12
72,1992,60706.53211093698,1,1,-2.022,13
73,1992,4183.402493833448,1,2,-2.022,1
74,1992,10179.090242939259,1,3,-2.022,1
75,1992,60432.24900000001,1,1,-0.08300000000000017,2
76,1992,4161.616,1,2,-0.08300000000000017,2
77,1992,10164.748999999998,1,3,-0.08300000000000017,2
78,1992,60231.870282736585,1,1,2.713,3
79,1992,4142.020682244181,1,2,2.713,3
80,1992,10153.407903621915,1,3,2.713,3
81,1992,60100.30024532883,1,1,6.313,4
82,1992,4124.69092231842,1,2,6.313,4
83,1992,10144.671019618832,1,3,6.313,4
84,1992,60029.26110035343,1,1,12.666,5
85,1992,4109.632033029411,1,2,12.666,5
86,1992,10137.996414834124,1,3,12.666,5
87,1992,60010.47506038592,1,1,15.3,6
88,1992,4096.849327183694,1,2,15.3,6
89,1992,10132.842156111066,1,3,15.3,6
90,1992,60035.66433800242,1,1,17.623,7
91,1992,4086.3481175878396,1,2,17.623,7
92,1992,10128.666310292965,1,3,17.623,7
93,1992,60096.55114577872,1,1,20.081,8
94,1992,4078.133717048499,1,2,20.081,8
95,1992,10124.926944223156,1,3,20.081,8
96,1992,60184.857696290834,1,1,12.905,9
97,1992,4072.2114383722337,1,2,12.905,9
98,1992,10121.082124744942,1,3,12.905,9
99,1992,60292.3062021151,1,1,5.551,10
100,1992,4068.5865943656336,1,2,5.551,10
101,1992,10116.58991870162,1,3,5.551,10
102,1992,60410.618875826825,1,1,2.9370000000000003,11
103,1992,4067.2644978353114,1,2,2.9370000000000003,11
